,symbol,metric,value
918,KO,Bid,64.38 x 2200
919,KO,Ask,64.63 x 800
920,KO,Day's Range,64.05 - 64.57
921,KO,52 Week Range,52.28 - 67.20
922,KO,Volume,"6,633,074"
923,KO,Avg. Volume,"14,176,441"
924,CTSH,Previous Close,66.02
925,CTSH,Open,65.99
926,CTSH,Bid,65.52 x 900
927,CTSH,Ask,0.00 x 1000
928,CTSH,Day's Range,65.51 - 66.20
929,CTSH,52 Week Range,63.26 - 93.47
930,CTSH,Volume,"2,384,803"
931,CTSH,Avg. Volume,"3,069,048"
932,CL,Previous Close,80.96
933,CL,Open,81.19
934,CL,Bid,80.80 x 800
935,CL,Ask,0.00 x 900
